Responsibilities,Role,UNIQUE ID,Avg_SkillScore,Cluster,ROLE,LAMA KERJA BERJALAN,GRADE,Durasi Bulan,Technical Score,Personal Evaluation Score ,Discipline Score ,Development Score,Expert Judgement,Capability Score,scoring_eval,job_count,d,finalscore,finalscore_scaled
Analyze structured and unstructured data,Data Scientist,0000ECE6,2.5,2,DATA ANALYST,4 tahun 10 bulan,JUNIOR,58,,,,,,,,9.0,,,
Analyze structured and unstructured data,Data Scientist,0001741A,4.5,3,DATA SCIENTIST,4 tahun 11 bulan,JUNIOR,59,88.75,89.5,96.4930913886,12.6845989445,1.0,78.1787671463,78.1787671463,3.0,43.549746587539005,43.549746587539005,0.4436734966987382
Analyze structured and unstructured data,Data Scientist,00017D8B,5.0,3,DATA ENGINEER,3 tahun 9 bulan,SENIOR,45,86.02941176,94.0,88.8888888889,14.482615467,1.2,95.2346475844,95.2346475844,0.0,52.824363219732,52.824363219732,0.8925799683548958
Analyze structured and unstructured data,Data Scientist,00049B4B,2.5,0,DATA ANALYST,3 tahun 9 bulan,MIDDLE,45,76.66666667,,99.4152046784,13.616265803,1.0,62.6570672707,62.6570672707,8.0,34.383245653471,34.383245653471,0.0
Analyze structured and unstructured data,Data Scientist,0004E1C5,2.5,1,AI ENGINEER,1 tahun 0 bulan,MIDDLE,12,98.68421053,,85.4256716671,27.4434510067,1.2,94.462392646,94.462392646,3.0,51.24006810238,51.24006810238,0.8158975178130667
Analyze structured and unstructured data,Data Scientist,00050DC9,3.0,2,DATA ANALYST,3 tahun 6 bulan,MIDDLE,42,73.27586207,90.0,93.7469277057,9.2877346217,1.1,80.5550616974,80.5550616974,9.0,44.104182699622,44.104182699622,0.4705091028164096
Analyze structured and unstructured data,Data Scientist,00055602,4.0,0,DATA SCIENTIST,0 tahun 9 bulan,JUNIOR,9,80.27777778,84.0,0.0,0.0,1.2,77.5622022708,77.5622022708,1.0,42.98796720352401,42.98796720352401,0.4164824643220488
Analyze structured and unstructured data,Data Scientist,0006B570,4.5,3,DATA ANALYST,4 tahun 11 bulan,JUNIOR,59,75.86206897,86.0,98.469149928,0.8603355751,1.0,71.0634376852,71.0634376852,4.0,39.77862197315601,39.77862197315601,0.26114495541734234
Analyze structured and unstructured data,Data Scientist,0006F238,3.0,1,DATA SCIENTIST,4 tahun 8 bulan,MIDDLE,56,97.22222222,,98.9522417154,54.9046621779,1.1,95.020460512,95.020460512,7.0,51.770844071359996,51.770844071359996,0.8415879346705826
Analyze structured and unstructured data,Data Scientist,0008CEE3,4.5,3,DATA ENGINEER,8 tahun 3 bulan,SENIOR,99,88.23529412,93.0,81.2753036437,0.0,1.3,99.8654925819,99.8654925819,21.0,55.043711068407006,55.043711068407006,1.0
Analyze structured and unstructured data,Data Scientist,0008DB3D,3.5,3,AI ENGINEER,4 tahun 5 bulan,MIDDLE,53,78.94736842,95.5,97.9135943724,2.0205144715,1.3,99.7997608046,99.7997608046,26.0,54.53887322643801,54.53887322643801,0.9755650305145576
Analyze structured and unstructured data,Data Scientist,0008EF5A,3.0,0,DATA SCIENTIST,3 tahun 9 bulan,JUNIOR,45,87.5,70.0,98.9522417154,0.0,1.0,66.4806914307,66.4806914307,2.0,36.644766458271,36.644766458271,0.10946127104983248
Analyze structured and unstructured data,Data Scientist,00093BBA,2.0,2,MGT,4 tahun 11 bulan,-,59,,,,,,,,1.0,,,
Analyze structured and unstructured data,Data Scientist,000BC56E,4.0,1,DATA ANALYST,3 tahun 2 bulan,JUNIOR,38,77.67241379,89.0,95.0048732943,0.4301677875,1.0,72.7677924824,72.7677924824,2.0,40.446930015672,40.446930015672,0.29349214746234137
Analyze structured and unstructured data,Data Scientist,000BE0C5,5.0,3,DATA ANALYST,3 tahun 0 bulan,MIDDLE,36,79.13793103,90.5,96.8024832613,9.3020121433,1.0,75.3882483655,75.3882483655,0.0,42.305771633715004,42.305771633715004,0.38346309345560997
Analyze structured and unstructured data,Data Scientist,000BF13A,3.0,2,DATA ANALYST,4 tahun 11 bulan,JUNIOR,59,85.34482759,84.0,76.9401195515,0.4301677875,1.0,71.3283335517,71.3283335517,2.0,39.214016782400996,39.214016782400996,0.23381714941608728
Analyze structured and unstructured data,Data Scientist,000C7109,3.0,1,DATA SCIENTIST,6 tahun 6 bulan,MIDDLE,78,,,,,,,,9.0,,,
Analyze structured and unstructured data,Data Scientist,000C72E4,4.5,1,DATA ENGINEER,5 tahun 0 bulan,MIDDLE,60,76.47058824,91.5,89.9596364099,0.0,1.2,87.8939523114,87.8939523114,3.0,48.698794725042006,48.698794725042006,0.6928957689995653
Analyze structured and unstructured data,Data Scientist,000CEE2B,3.0,0,DATA ANALYST,3 tahun 11 bulan,MIDDLE,47,74.48275862,90.0,98.9522417154,10.5359979556,1.0,74.1194724896,74.1194724896,4.0,40.693320419487996,40.693320419487996,0.30541784220675267
Analyze structured and unstructured data,Data Scientist,000FCFC2,4.5,3,AI ENGINEER,1 tahun 10 bulan,JUNIOR,22,80.52631579,95.0,98.9522417154,34.6152175938,1.0,81.9618884287,81.9618884287,16.0,45.554800867211,45.554800867211,0.5407213724074087
Analyze structured and unstructured data,Data Scientist,00101A0D,3.5,0,DATA SCIENTIST,4 tahun 0 bulan,JUNIOR,48,82.5,94.0,39.414983165,7.0665492569,1.0,73.9040356956,73.9040356956,2.0,40.81413891866801,40.81413891866801,0.3112656533162095
Analyze structured and unstructured data,Data Scientist,00103C57,3.5,1,DATA ANALYST,4 tahun 11 bulan,JUNIOR,59,80.60344828,81.5,80.2615189223,5.8627640301,1.0,69.7620596418,69.7620596418,15.0,38.618891610154,38.618891610154,0.20501212686239578
Analyze structured and unstructured data,Data Scientist,00104933,1.5,2,MGT,3 tahun 11 bulan,-,47,89.65517241,,98.469149928,8.7007929068,1.0,69.5023814571,69.5023814571,1.0,37.541262172263,37.541262172263,0.15285311610206942
Analyze structured and unstructured data,Data Scientist,001356B3,2.5,1,DATA SCIENTIST,1 tahun 10 bulan,JUNIOR,22,98.61111111,,98.9522417154,37.4823489904,1.0,82.7234066868,82.7234066868,7.0,45.018405544004004,45.018405544004004,0.5147589697008742
Analyze structured and unstructured data,Data Scientist,0013A32D,1.0,2,MGT,5 tahun 9 bulan,-,69,79.13793103,99.0,88.8109161793,8.7722486646,1.0,78.9526210358,78.9526210358,1.0,42.314889148974,42.314889148974,0.3839043959662689
Analyze structured and unstructured data,Data Scientist,0013D24E,3.5,1,DATA SCIENTIST,4 tahun 9 bulan,JUNIOR,57,66.25,92.0,97.9135943724,0.0,1.1,78.1589269578,78.1589269578,0.0,43.06923128763401,43.06923128763401,0.4204157776563774
Analyze structured and unstructured data,Data Scientist,0014B046,3.0,1,DATA SCIENTIST,7 tahun 8 bulan,SENIOR,92,84.72222222,87.0,0.0,0.0,1.0,67.4019777006,67.4019777006,6.0,37.133048181317996,37.133048181317996,0.1330948975553614
Analyze structured and unstructured data,Data Scientist,0014CA34,3.0,0,DATA SCIENTIST,4 tahun 1 bulan,JUNIOR,49,82.5,95.0,99.537037037,30.4375931247,1.0,81.9453180716,81.9453180716,1.0,44.841018577948,44.841018577948,0.5061731531428519
Analyze structured and unstructured data,Data Scientist,0014EEF4,4.5,1,DATA ENGINEER,2 tahun 11 bulan,MIDDLE,35,85.0,93.5,80.9809654856,9.0371304039,1.2,92.960313373,92.960313373,8.0,51.383966087690006,51.383966087690006,0.82286241344441
Analyze structured and unstructured data,Data Scientist,0014F3E9,4.5,3,DATA ANALYST,3 tahun 1 bulan,JUNIOR,37,75.86206897,,98.257797271,12.7921561676,1.0,61.80993377,61.80993377,2.0,34.8742648981,34.8742648981,0.02376612698540809
Analyze structured and unstructured data,Data Scientist,001ABDF5,3.5,1,DATA ANALYST,3 tahun 4 bulan,MIDDLE,40,82.24137931,98.5,98.9522417154,50.3029972195,1.0,86.5446547165,86.5446547165,8.0,47.513666999745006,47.513666999745006,0.6355336669609423
Analyze structured and unstructured data,Data Scientist,001AE6FC,3.5,0,DATA ANALYST,3 tahun 4 bulan,JUNIOR,40,82.24137931,84.5,98.469149928,0.4301677875,,72.1149630886,72.1149630886,2.0,39.86593043695801,39.86593043695801,0.2653708265218183
Analyze structured and unstructured data,Data Scientist,001F9B47,4.5,1,DATA ENGINEER,3 tahun 1 bulan,JUNIOR,37,58.75,87.0,96.1884481736,8.6577453183,1.2,81.1247503422,81.1247503422,1.0,45.111117681366004,45.111117681366004,0.5192463873606418
Analyze structured and unstructured data,Data Scientist,002018BB,4.0,0,DATA SCIENTIST,10 tahun 10 bulan,SENIOR,130,97.22222222,98.0,50.5555555556,43.7450704533,1.0,86.4214334385,86.4214334385,18.0,47.68335972240501,47.68335972240501,0.6437470696724478
Analyze structured and unstructured data,Data Scientist,0020C6B5,4.0,3,DATA ANALYST,2 tahun 10 bulan,MIDDLE,34,75.86206897,88.5,98.3674463938,3.3392709766,1.0,72.659385698,72.659385698,3.0,40.38947441994,40.38947441994,0.29071120353982616
Analyze structured and unstructured data,Data Scientist,002201AD,3.0,0,DATA ANALYST,4 tahun 10 bulan,MIDDLE,58,91.37931034,95.0,99.537037037,0.4301677875,1.0,80.0052980974,80.0052980974,2.0,43.812807991622,43.812807991622,0.45640609486629075
Analyze structured and unstructured data,Data Scientist,00270615,4.0,0,DATA ANALYST,3 tahun 9 bulan,JUNIOR,45,93.10344828,75.0,98.9814814815,29.9520058526,1.0,75.0818725109,75.0818725109,1.0,41.67339243077701,41.67339243077701,0.3528549154577981
Analyze structured and unstructured data,Data Scientist,00277DF9,3.5,0,AI ENGINEER,0 tahun 5 bulan,MIDDLE,5,,,,,,,,4.0,,,
Analyze structured and unstructured data,Data Scientist,002D5AC9,4.0,3,DATA SCIENTIST,3 tahun 8 bulan,MIDDLE,44,78.88888889,92.0,97.4707602339,57.4757263933,1.0,83.3553945397,83.3553945397,3.0,46.058359106041,46.058359106041,0.5650944070277211
Analyze structured and unstructured data,Data Scientist,002DF96D,4.0,3,DATA SCIENTIST,5 tahun 0 bulan,MIDDLE,60,78.88888889,91.0,46.8542261807,5.4541409456,1.1,78.7985129608,78.7985129608,15.0,43.643211869224004,43.643211869224004,0.4481973677639771
Analyze structured and unstructured data,Data Scientist,002E9001,4.5,1,DATA ENGINEER,7 tahun 8 bulan,SENIOR,92,,,,,,,,10.0,,,
Analyze structured and unstructured data,Data Scientist,002EC9F6,2.0,2,DATA SCIENTIST,4 tahun 7 bulan,MIDDLE,55,97.22222222,96.5,83.7230473171,43.7450704533,1.1,96.6970538768,96.6970538768,0.0,52.189438554704,52.189438554704,0.8618485858677908
Analyze structured and unstructured data,Data Scientist,00302AE1,4.0,1,DATA ENGINEER,2 tahun 5 bulan,MIDDLE,29,84.70588235,89.0,97.8411306043,0.4301677875,1.2,90.0022582512,90.0022582512,2.0,49.58119687313601,49.58119687313601,0.7356054626280587
Analyze structured and unstructured data,Data Scientist,00306ABB,4.0,1,DATA ENGINEER,3 tahun 3 bulan,JUNIOR,39,94.11764706,90.0,96.5971692516,0.0,1.2,93.696777586,93.696777586,3.0,51.53929212058,51.53929212058,0.8303804450942539
Analyze structured and unstructured data,Data Scientist,0031857D,4.0,3,DATA SCIENTIST,2 tahun 11 bulan,MIDDLE,35,90.0,,97.6042024997,10.2336902669,1.0,70.0282735258,70.0282735258,5.0,38.994984968674004,38.994984968674004,0.22321565475814756
Analyze structured and unstructured data,Data Scientist,0037569D,3.0,1,AI ENGINEER,2 tahun 8 bulan,MIDDLE,32,82.89473684,90.0,98.498389694,6.7355847106,1.3,98.749547614,98.749547614,21.0,53.74726023541999,53.74726023541999,0.9372496791843917
Analyze structured and unstructured data,Data Scientist,00392144,3.0,0,DATA SCIENTIST,4 tahun 10 bulan,MIDDLE,58,85.0,90.5,98.9522417154,10.5154493741,1.0,77.4187076743,77.4187076743,15.0,42.44191506737899,42.44191506737899,0.39005265622342483
Analyze structured and unstructured data,Data Scientist,003A7A13,2.5,0,DATA SCIENTIST,2 tahun 10 bulan,JUNIOR,34,82.5,89.5,96.6027405114,1.0754194688,1.0,74.6209033424,74.6209033424,5.0,40.724078771472,40.724078771472,0.30690659627720884
Analyze structured and unstructured data,Data Scientist,003B384C,4.5,3,DATA SCIENTIST,2 tahun 10 bulan,SENIOR,34,80.0,92.0,96.3395202983,44.3903221346,1.1,89.794363496,89.794363496,3.0,49.706012652880005,49.706012652880005,0.7416467485931737
Analyze structured and unstructured data,Data Scientist,003C6A0D,3.0,0,DATA ANALYST,1 tahun 9 bulan,JUNIOR,21,76.20689655,98.0,45.3968253968,2.3230903964,1.0,73.7283503902,73.7283503902,7.0,40.486025706806004,40.486025706806004,0.29538444225574606
Analyze structured and unstructured data,Data Scientist,003CFD5B,3.5,1,DATA ENGINEER,3 tahun 8 bulan,MIDDLE,44,77.5,80.0,98.9522417154,3.0893274449,1.3,89.6443972996,89.6443972996,0.0,49.15653056878801,49.15653056878801,0.7150509254567422
Analyze structured and unstructured data,Data Scientist,003D5583,3.5,0,DATA SCIENTIST,3 tahun 9 bulan,JUNIOR,45,98.61111111,90.0,98.9522417154,31.463471719,1.0,84.2841556523,84.2841556523,1.0,46.315602495719006,46.315602495719006,0.5775454038717726
Analyze structured and unstructured data,Data Scientist,0042FA00,2.5,0,DATA ANALYST,3 tahun 1 bulan,JUNIOR,37,80.68965517,90.0,98.9522417154,38.3427977748,1.0,80.1122536136,80.1122536136,2.0,43.634494415208,43.634494415208,0.447775428865655
Analyze structured and unstructured data,Data Scientist,00430780,2.5,2,DATA ANALYST,2 tahun 10 bulan,MIDDLE,34,87.93103448,86.0,92.1643347143,0.4301677875,1.0,74.0835656652,74.0835656652,2.0,40.439289802556,40.439289802556,0.2931223487689159
Analyze structured and unstructured data,Data Scientist,00434E84,4.0,1,DATA SCIENTIST,3 tahun 9 bulan,JUNIOR,45,80.27777778,95.0,96.1220230528,0.0,1.0,76.485383457,76.485383457,4.0,42.41725323221,42.41725323221,0.388858983444342
Analyze structured and unstructured data,Data Scientist,00456E77,3.5,1,DATA SCIENTIST,1 tahun 8 bulan,BASIC,20,75.55555556,90.0,17.7777777778,0.0,,67.4044956827,67.4044956827,8.0,37.36938271183101,37.36938271183101,0.14453387173946475
Analyze structured and unstructured data,Data Scientist,0045D05E,2.5,1,DATA SCIENTIST,4 tahun 1 bulan,JUNIOR,49,73.75,85.0,96.7440037291,55.491056416,1.0,78.0721708555,78.0721708555,7.0,42.553250553415005,42.553250553415005,0.39544147413241176
Analyze structured and unstructured data,Data Scientist,00464297,1.5,2,MGT,4 tahun 11 bulan,-,59,,,,,,,,1.0,,,
Analyze structured and unstructured data,Data Scientist,005139FE,3.0,0,DATA ANALYST,4 tahun 1 bulan,MIDDLE,49,79.13793103,85.0,98.9522417154,0.4301677875,1.0,71.4912919476,71.4912919476,2.0,39.300384732228004,39.300384732228004,0.23799749812036042
Analyze structured and unstructured data,Data Scientist,0052D29A,3.5,1,DATA ANALYST,5 tahun 1 bulan,SENIOR,61,73.10344828,86.0,97.7192982456,51.2417874977,1.0,77.8012250633,77.8012250633,4.0,42.879649283549,42.879649283549,0.41123970149945027
Analyze structured and unstructured data,Data Scientist,00563DC3,4.0,0,DATA ANALYST,3 tahun 6 bulan,MIDDLE,42,76.20689655,96.0,3.7037037037,53.3266455725,1.0,77.6344597313,77.6344597313,4.0,43.026263657589006,43.026263657589006,0.41833607474639634
Analyze structured and unstructured data,Data Scientist,00630639,3.5,1,DATA SCIENTIST,9 tahun 2 bulan,MIDDLE,110,80.0,75.0,98.9522417154,54.8821326185,1.0,75.0274646513,75.0274646513,0.0,41.409556265189,41.409556265189,0.340084817578141
Analyze structured and unstructured data,Data Scientist,0073D075,4.0,3,DATA SCIENTIST,4 tahun 0 bulan,JUNIOR,48,91.66666667,93.0,58.0116959064,8.2492354431,1.0,77.500618325,77.500618325,4.0,42.95532771225001,42.95532771225001,0.4149026600621505
Analyze structured and unstructured data,Data Scientist,0084C542,3.0,0,DATA ANALYST,4 tahun 0 bulan,MIDDLE,48,74.48275862,80.0,98.9522417154,0.0,1.0,67.6149808506,67.6149808506,2.0,37.245939850818004,37.245939850818004,0.13855903726532148
Analyze structured and unstructured data,Data Scientist,00897237,3.0,0,DATA ANALYST,3 tahun 9 bulan,MIDDLE,45,93.10344828,92.5,94.1423001949,2.5085548458,1.2,95.0743558155,95.0743558155,8.0,51.799408582215,51.799408582215,0.8429705032759518
Analyze structured and unstructured data,Data Scientist,0097B743,2.5,0,MGT,3 tahun 1 bulan,-,37,90.27777778,,98.9522417154,37.0103448893,1.0,77.3225695827,77.3225695827,5.0,42.155961878831,42.155961878831,0.37621205859868456
Analyze structured and unstructured data,Data Scientist,009C501C,3.5,0,DATA ANALYST,2 tahun 9 bulan,MIDDLE,33,71.72413793,91.5,99.537037037,45.8959093909,1.1,87.3635004212,87.3635004212,9.0,47.947655223236005,47.947655223236005,0.656539400122077
Analyze structured and unstructured data,Data Scientist,017F0DF6,3.5,3,AI ENGINEER,3 tahun 8 bulan,JUNIOR,44,84.07894737,90.0,75.790084404,1.3470096476,1.3,96.1634426675,96.1634426675,9.0,52.611624613775,52.611624613775,0.8822830751492274
Automate data analysis workflows,Data Scientist,0000ECE6,2.0,2,DATA ANALYST,4 tahun 10 bulan,JUNIOR,58,,,,,,,,9.0,,,
Automate data analysis workflows,Data Scientist,0001741A,4.666666666666667,3,DATA SCIENTIST,4 tahun 11 bulan,JUNIOR,59,88.75,89.5,96.4930913886,12.6845989445,1.0,78.1787671463,78.1787671463,3.0,43.62807992087234,43.62807992087234,0.4553861804902139
Automate data analysis workflows,Data Scientist,00017D8B,4.5,3,DATA ENGINEER,3 tahun 9 bulan,SENIOR,45,86.02941176,94.0,88.8888888889,14.482615467,1.2,95.2346475844,95.2346475844,0.0,52.589363219732,52.589363219732,0.8858625431194004
Automate data analysis workflows,Data Scientist,00049B4B,2.0,0,DATA ANALYST,3 tahun 9 bulan,MIDDLE,45,76.66666667,,99.4152046784,13.616265803,1.0,62.6570672707,62.6570672707,8.0,34.148245653471,34.148245653471,0.0
Automate data analysis workflows,Data Scientist,0004E1C5,2.5,1,AI ENGINEER,1 tahun 0 bulan,MIDDLE,12,98.68421053,,85.4256716671,27.4434510067,1.2,94.462392646,94.462392646,3.0,51.24006810238,51.24006810238,0.8210459722265995
Automate data analysis workflows,Data Scientist,00050DC9,2.1666666666666665,2,DATA ANALYST,3 tahun 6 bulan,MIDDLE,42,73.27586207,90.0,93.7469277057,9.2877346217,1.1,80.5550616974,80.5550616974,9.0,43.712516032955335,43.712516032955335,0.4594422681276469
Automate data analysis workflows,Data Scientist,00055602,2.6666666666666665,0,DATA SCIENTIST,0 tahun 9 bulan,JUNIOR,9,80.27777778,84.0,0.0,0.0,1.2,77.5622022708,77.5622022708,1.0,42.361300536857335,42.361300536857335,0.39453344731595835
Automate data analysis workflows,Data Scientist,0006B570,3.8333333333333335,3,DATA ANALYST,4 tahun 11 bulan,JUNIOR,59,75.86206897,86.0,98.469149928,0.8603355751,1.0,71.0634376852,71.0634376852,4.0,39.465288639822674,39.465288639822674,0.2554166907097956
Automate data analysis workflows,Data Scientist,0006F238,3.3333333333333335,1,DATA SCIENTIST,4 tahun 8 bulan,MIDDLE,56,97.22222222,,98.9522417154,54.9046621779,1.1,95.020460512,95.020460512,7.0,51.92751073802667,51.92751073802667,0.8540688993498895
Automate data analysis workflows,Data Scientist,0008CEE3,4.333333333333333,3,DATA ENGINEER,8 tahun 3 bulan,SENIOR,99,88.23529412,93.0,81.2753036437,0.0,1.3,99.8654925819,99.8654925819,21.0,54.96537773507367,54.96537773507367,1.0
Automate data analysis workflows,Data Scientist,0008DB3D,3.6666666666666665,3,AI ENGINEER,4 tahun 5 bulan,MIDDLE,53,78.94736842,95.5,97.9135943724,2.0205144715,1.3,99.7997608046,99.7997608046,26.0,54.61720655977134,54.61720655977134,0.9832747770472171
Automate data analysis workflows,Data Scientist,0008EF5A,2.6666666666666665,0,DATA SCIENTIST,3 tahun 9 bulan,JUNIOR,45,87.5,70.0,98.9522417154,0.0,1.0,66.4806914307,66.4806914307,2.0,36.488099791604334,36.488099791604334,0.11240040794097667
Automate data analysis workflows,Data Scientist,00093BBA,1.3333333333333333,2,MGT,4 tahun 11 bulan,-,59,,,,,,,,1.0,,,
Automate data analysis workflows,Data Scientist,000BC56E,2.8333333333333335,1,DATA ANALYST,3 tahun 2 bulan,JUNIOR,38,77.67241379,89.0,95.0048732943,0.4301677875,1.0,72.7677924824,72.7677924824,2.0,39.89859668233866,39.89859668233866,0.2762316637242066
Automate data analysis workflows,Data Scientist,000BE0C5,3.8333333333333335,3,DATA ANALYST,3 tahun 0 bulan,MIDDLE,36,79.13793103,90.5,96.8024832613,9.3020121433,1.0,75.3882483655,75.3882483655,0.0,41.75743830038167,41.75743830038167,0.36552550164368525
Automate data analysis workflows,Data Scientist,000BF13A,1.8333333333333333,2,DATA ANALYST,4 tahun 11 bulan,JUNIOR,59,85.34482759,84.0,76.9401195515,0.4301677875,1.0,71.3283335517,71.3283335517,2.0,38.665683449067664,38.665683449067664,0.21700577091447623
Automate data analysis workflows,Data Scientist,000C7109,3.0,1,DATA SCIENTIST,6 tahun 6 bulan,MIDDLE,78,,,,,,,,9.0,,,
Automate data analysis workflows,Data Scientist,000C72E4,3.8333333333333335,1,DATA ENGINEER,5 tahun 0 bulan,MIDDLE,60,76.47058824,91.5,89.9596364099,0.0,1.2,87.8939523114,87.8939523114,3.0,48.385461391708674,48.385461391708674,0.6839182113284442
Automate data analysis workflows,Data Scientist,000CEE2B,2.3333333333333335,0,DATA ANALYST,3 tahun 11 bulan,MIDDLE,47,74.48275862,90.0,98.9522417154,10.5359979556,1.0,74.1194724896,74.1194724896,4.0,40.379987086154664,40.379987086154664,0.29935638628103917
Automate data analysis workflows,Data Scientist,000FCFC2,4.666666666666667,3,AI ENGINEER,1 tahun 10 bulan,JUNIOR,22,80.52631579,95.0,98.9522417154,34.6152175938,1.0,81.9618884287,81.9618884287,16.0,45.63313420054433,45.63313420054433,0.5517036881955131
Automate data analysis workflows,Data Scientist,00101A0D,2.5,0,DATA SCIENTIST,4 tahun 0 bulan,JUNIOR,48,82.5,94.0,39.414983165,7.0665492569,1.0,73.9040356956,73.9040356956,2.0,40.344138918668,40.344138918668,0.29763433507119247
Automate data analysis workflows,Data Scientist,00103C57,3.3333333333333335,1,DATA ANALYST,4 tahun 11 bulan,JUNIOR,59,80.60344828,81.5,80.2615189223,5.8627640301,1.0,69.7620596418,69.7620596418,15.0,38.54055827682067,38.54055827682067,0.21099508837874037
Automate data analysis workflows,Data Scientist,00104933,1.1666666666666667,2,MGT,3 tahun 11 bulan,-,47,89.65517241,,98.469149928,8.7007929068,1.0,69.5023814571,69.5023814571,1.0,37.38459550559634,37.38459550559634,0.1554656923652557
Automate data analysis workflows,Data Scientist,001356B3,2.3333333333333335,1,DATA SCIENTIST,1 tahun 10 bulan,JUNIOR,22,98.61111111,,98.9522417154,37.4823489904,1.0,82.7234066868,82.7234066868,7.0,44.94007221067067,44.94007221067067,0.5184108221486016
Automate data analysis workflows,Data Scientist,0013A32D,1.0,2,MGT,5 tahun 9 bulan,-,69,79.13793103,99.0,88.8109161793,8.7722486646,1.0,78.9526210358,78.9526210358,1.0,42.314889148974,42.314889148974,0.3923039669196479
Automate data analysis workflows,Data Scientist,0013D24E,3.0,1,DATA SCIENTIST,4 tahun 9 bulan,JUNIOR,57,66.25,92.0,97.9135943724,0.0,1.1,78.1589269578,78.1589269578,0.0,42.834231287634005,42.834231287634005,0.4172517905018877
Automate data analysis workflows,Data Scientist,0014B046,2.6666666666666665,1,DATA SCIENTIST,7 tahun 8 bulan,SENIOR,92,84.72222222,87.0,0.0,0.0,1.0,67.4019777006,67.4019777006,6.0,36.97638151465133,36.97638151465133,0.13585617125808214
Automate data analysis workflows,Data Scientist,0014CA34,2.5,0,DATA SCIENTIST,4 tahun 1 bulan,JUNIOR,49,82.5,95.0,99.537037037,30.4375931247,1.0,81.9453180716,81.9453180716,1.0,44.606018577948,44.606018577948,0.502363768624937
Automate data analysis workflows,Data Scientist,0014EEF4,3.8333333333333335,1,DATA ENGINEER,2 tahun 11 bulan,MIDDLE,35,85.0,93.5,80.9809654856,9.0371304039,1.2,92.960313373,92.960313373,8.0,51.07063275435667,51.07063275435667,0.8129067459701129
Automate data analysis workflows,Data Scientist,0014F3E9,3.5,3,DATA ANALYST,3 tahun 1 bulan,JUNIOR,37,75.86206897,,98.257797271,12.7921561676,1.0,61.80993377,61.80993377,2.0,34.4042648981,34.4042648981,0.012298487785224797
Automate data analysis workflows,Data Scientist,001ABDF5,3.0,1,DATA ANALYST,3 tahun 4 bulan,MIDDLE,40,82.24137931,98.5,98.9522417154,50.3029972195,1.0,86.5446547165,86.5446547165,8.0,47.278666999745,47.278666999745,0.6307507342895771
Automate data analysis workflows,Data Scientist,001AE6FC,2.6666666666666665,0,DATA ANALYST,3 tahun 4 bulan,JUNIOR,40,82.24137931,84.5,98.469149928,0.4301677875,,72.1149630886,72.1149630886,2.0,39.47426377029134,39.47426377029134,0.2558478322538604
Automate data analysis workflows,Data Scientist,001F9B47,3.5,1,DATA ENGINEER,3 tahun 1 bulan,JUNIOR,37,58.75,87.0,96.1884481736,8.6577453183,1.2,81.1247503422,81.1247503422,1.0,44.641117681366005,44.641117681366005,0.5040498367769004
Automate data analysis workflows,Data Scientist,002018BB,2.5,0,DATA SCIENTIST,10 tahun 10 bulan,SENIOR,130,97.22222222,98.0,50.5555555556,43.7450704533,1.0,86.4214334385,86.4214334385,18.0,46.978359722405,46.978359722405,0.6163247664779304
Automate data analysis workflows,Data Scientist,0020C6B5,3.0,3,DATA ANALYST,2 tahun 10 bulan,MIDDLE,34,75.86206897,88.5,98.3674463938,3.3392709766,1.0,72.659385698,72.659385698,3.0,39.919474419939995,39.919474419939995,0.2772345750531779
