Responsibilities,Role,UNIQUE ID,Role Person,Avg_SkillScore,Cluster,NO,ROLE,LAMA KERJA BERJALAN,GRADE,Durasi Bulan,"Technical Score (29,06%)","Personal Evaluation Score (49,17%)","Discipline Score (15,06%)",Development Score (7%),Expert Judgement,Capability Score,scoring_eval,job_count,d,finalscore,finalscore_scaled
Analyze structured and unstructured data,Data Scientist,006bac9a,Data Analyst,3.0,3,7,DATA ANALYST,2 tahun 5 bulan,JUNIOR,29,24.3446545288,90.0,100.0,10.68886874,1.0,59.64183706,59.64183706,2.0,33.0201736418,33.0201736418,0.17871304746089028
Analyze structured and unstructured data,Data Scientist,00c74be4,Data Scientist,2.75,3,106,DATA SCIENTIST,5 tahun 10 bulan,MIDDLE,70,65.8296276846,90.0,70.58823529,2.714292537,1.0,67.48966658,67.48966658,9.0,37.0620232874,44.47442794488,0.4708646108120668
Analyze structured and unstructured data,Data Scientist,01c8c0ef,Data Scientist,3.85,1,67,DATA SCIENTIST,2 tahun 2 bulan,SENIOR,26,77.0315563725,92.0,96.35416667,6.32783673,1.1,82.53917202,82.53917202,3.0,45.5552611706,54.66631340471999,0.7308182657425081
Analyze structured and unstructured data,Data Scientist,01d1846b,Data Analyst,3.3,0,77,DATA ANALYST,4 tahun 3 bulan,JUNIOR,51,76.130287115,84.0,91.92708333,7.89858338,1.0,70.77981892,70.77981892,2.0,39.0643040276,39.0643040276,0.3328742957260876
Analyze structured and unstructured data,Data Scientist,03ad7f49,Data Scientist,2.85,2,91,DATA SCIENTIST,3 tahun 4 bulan,JUNIOR,40,75.1958741829,90.0,0.0,4.519739335,1.0,70.74391915,70.74391915,2.0,38.8337771495,46.6005325794,0.5250929155438885
Analyze structured and unstructured data,Data Scientist,0514ff91,Data Scientist,3.65,0,37,DATA SCIENTIST,3 tahun 4 bulan,MIDDLE,40,75.6379551821,90.0,100.0,11.44256681,1.0,74.661971,74.661971,4.0,41.286344629999995,49.54361355599999,0.6001589727163392
Analyze structured and unstructured data,Data Scientist,056cd3f9,Data Engineer,3.55,3,48,DATA ENGINEER,7 tahun 7 bulan,SENIOR,91,80.4681314192,90.0,34.22459893,5.168397654,1.3,94.26532683,94.26532683,0.0,51.62912321990001,51.62912321990001,0.6533518644202142
Analyze structured and unstructured data,Data Scientist,05eed8dc,Data Engineer,2.85,3,49,DATA ENGINEER,2 tahun 5 bulan,MIDDLE,29,62.7957662233,95.0,99.21875,8.595362988,1.2,87.48866032,87.48866032,8.0,47.7084899696,47.7084899696,0.5533524141640981
Analyze structured and unstructured data,Data Scientist,106760ca,Data Engineer,4.85,1,21,DATA ENGINEER,1 tahun 11 bulan,MIDDLE,23,71.4513888888,91.25,100.0,8.016044212,1.2,88.25251765,88.25251765,3.0,49.0533343545,49.0533343545,0.587653939092433
Analyze structured and unstructured data,Data Scientist,123117c9,Data Analyst,2.35,2,32,DATA ANALYST,4 tahun 2 bulan,MIDDLE,50,70.4449813258,95.0,100.0,3.648580437,1.0,74.43733436,74.43733436,2.0,40.5562872108,40.5562872108,0.3709287345338882
Analyze structured and unstructured data,Data Scientist,14d4dbd6,Data Analyst,2.5,2,108,DATA ANALYST,4 tahun 2 bulan,JUNIOR,50,79.6974498133,80.5,98.4375,3.111615146,1.0,69.81056917,69.81056917,9.0,38.174601660099995,38.174601660099995,0.310181597388451
Analyze structured and unstructured data,Data Scientist,1551c5ff,Data Analyst,2.75,2,66,DATA ANALYST,2 tahun 5 bulan,JUNIOR,29,79.0374358075,90.0,100.0,15.2788331,1.0,76.22782609,76.22782609,2.0,41.6932478277,41.6932478277,0.3999279878162896
Analyze structured and unstructured data,Data Scientist,1667415a,Data Analyst,3.45,0,50,DATA ANALYST,4 tahun 1 bulan,JUNIOR,49,73.4773576096,90.0,100.0,10.26693491,1.0,73.85696587,73.85696587,1.0,40.7656919111,40.7656919111,0.37626979899316765
Analyze structured and unstructured data,Data Scientist,1672e04a,Data Analyst,3.85,3,41,DATA ANALYST,4 tahun 3 bulan,JUNIOR,51,69.8277310925,86.0,100.0,7.456011595,1.0,70.40596081,70.40596081,4.0,39.1246592293,39.1246592293,0.3344137120919604
Analyze structured and unstructured data,Data Scientist,17466c54,Data Analyst,2.85,2,11,DATA ANALYST,3 tahun 1 bulan,JUNIOR,37,49.8728816529,90.0,100.0,7.676082801,1.0,66.60685575,66.60685575,0.0,36.6411335475,36.6411335475,0.271069046314323
Analyze structured and unstructured data,Data Scientist,1893af41,Data Analyst,2.8,2,103,DATA SCIENTIST,1 tahun 1 bulan,JUNIOR,13,37.5269607842,98.0,29.01069519,0.0,1.0,62.25313576,62.25313576,3.0,34.3101619528,34.3101619528,0.21161541646644438
Analyze structured and unstructured data,Data Scientist,1dbecdbe,Data Scientist,2.85,0,4,DATA SCIENTIST,2 tahun 3 bulan,JUNIOR,27,85.3527602713,90.0,99.30555556,6.414697312,1.0,76.68127695,76.68127695,5.0,41.9805767835,50.3766921402,0.6214074280350738
Analyze structured and unstructured data,Data Scientist,29e9efd9,Data Engineer,3.45,3,61,DATA ENGINEER,3 tahun 1 bulan,MIDDLE,37,72.8804563492,94.0,99.30555556,9.72908414,1.2,90.62742563,90.62742563,0.0,49.654035583900004,49.654035583900004,0.60297539072364
Analyze structured and unstructured data,Data Scientist,2d801262,Data Analyst,3.5,0,9,DATA ANALYST,2 tahun 10 bulan,MIDDLE,34,80.3460259104,90.0,95.74652778,10.27336667,1.1,83.12594823,83.12594823,9.0,45.70175256190001,45.70175256190001,0.5021686831780316
Analyze structured and unstructured data,Data Scientist,31e8a51f,Data Scientist,2.75,0,98,DATA SCIENTIST,2 tahun 9 bulan,JUNIOR,33,52.8933765175,90.0,65.10695187,6.407601293,1.0,64.07121964,64.07121964,0.0,35.250246409199995,42.30029569103999,0.41541131633433037
Analyze structured and unstructured data,Data Scientist,3350383a,Artificial Intelligence Engineer,4.5,1,30,AI ENGINEER,3 tahun 9 bulan,MIDDLE,45,54.1797239725,95.5,96.44097222,11.49637749,1.3,92.17002068,92.17002068,0.0,50.965110960400004,50.965110960400004,0.6364156052309006
Analyze structured and unstructured data,Data Scientist,365fc87a,Data Analyst,3.0,0,110,DATA ANALYST,2 tahun 5 bulan,BASIC,29,80.8585434175,90.0,8.155080214,6.607477284,1.0,72.88466719,72.88466719,3.0,40.0388736107,40.0388736107,0.3577316124717625
Analyze structured and unstructured data,Data Scientist,36cf70f2,Artificial Intelligence Engineer,3.85,1,58,AI ENGINEER,2 tahun 5 bulan,MIDDLE,29,43.5532358775,89.5,100.0,11.83988942,1.3,84.69716654,84.69716654,4.0,46.6989982662,46.6989982662,0.5276043757903518
Analyze structured and unstructured data,Data Scientist,3951d86b,Data Scientist,4.5,1,78,DATA SCIENTIST,3 tahun 1 bulan,JUNIOR,37,55.4426062092,95.0,100.0,4.279280813,1.0,70.17243405,70.17243405,0.0,39.306390046500006,47.16766805580001,0.5395582409747742
Analyze structured and unstructured data,Data Scientist,39c4596a,Data Scientist,3.4,0,42,DATA SCIENTIST,3 tahun 5 bulan,JUNIOR,41,60.7098506071,80.0,97.91666667,4.694561364,1.0,64.25018915,64.25018915,0.0,35.6506002495,42.7807202994,0.4276649992621673
Analyze structured and unstructured data,Data Scientist,3cac7e99,Data Scientist,3.35,0,88,DATA SCIENTIST,10 tahun 2 bulan,SENIOR,122,88.3660831,98.0,34.22459893,51.7318368,1.0,87.21080158,87.21080158,0.0,47.7962248374,57.355469804879995,0.7994077370092069
Analyze structured and unstructured data,Data Scientist,42e7a026,Data Analyst,3.5,0,64,DATA ANALYST,2 tahun 6 bulan,JUNIOR,30,73.5210696779,89.0,99.21875,4.472503523,1.0,72.45268383,72.45268383,2.0,40.044922429900005,40.044922429900005,0.35788589331265797
Analyze structured and unstructured data,Data Scientist,46fd6e1c,Data Analyst,2.5,2,5,DATA SCIENTIST,1 tahun 2 bulan,JUNIOR,14,67.4580357142,90.0,100.0,11.7055718,1.0,72.32438573,72.32438573,0.0,39.5069244369,39.5069244369,0.3441637468877718
Analyze structured and unstructured data,Data Scientist,47d42365,Data Engineer,3.65,3,53,DATA ENGINEER,4 tahun 4 bulan,JUNIOR,52,71.9768703312,91.5,97.82986111,3.794124597,1.2,87.64556985,87.64556985,3.0,48.1676520205,48.1676520205,0.5650637755022077
Analyze structured and unstructured data,Data Scientist,4cba2f2d,Artificial Intelligence Engineer,2.65,0,36,AI ENGINEER,1 tahun 7 bulan,JUNIOR,19,66.0502450979,95.0,100.0,5.817498712,1.2,84.80862745,84.80862745,5.0,46.1940725485,46.1940725485,0.514725768951441
