Responsibilities,Role,UNIQUE ID,Role Person,Avg_SkillScore,Cluster,NO,ROLE,LAMA KERJA BERJALAN,GRADE,Durasi Bulan,"Technical Score (29,06%)","Personal Evaluation Score (49,17%)","Discipline Score (15,06%)",Development Score (7%),Expert Judgement,Capability Score,scoring_eval
Analyze structured and unstructured data,Data Scientist,006bac9a,Data Analyst,3.0,3,7,DATA ANALYST,2 tahun 5 bulan,JUNIOR,29,24.3446545288,90.0,100.0,10.68886874,1.0,59.64183706,59.64183706
Analyze structured and unstructured data,Data Scientist,00c74be4,Data Scientist,2.75,3,106,DATA SCIENTIST,5 tahun 10 bulan,MIDDLE,70,65.8296276846,90.0,70.58823529,2.714292537,1.0,67.48966658,67.48966658
Analyze structured and unstructured data,Data Scientist,01c8c0ef,Data Scientist,3.85,1,67,DATA SCIENTIST,2 tahun 2 bulan,SENIOR,26,77.0315563725,92.0,96.35416667,6.32783673,1.1,82.53917202,82.53917202
Analyze structured and unstructured data,Data Scientist,01d1846b,Data Analyst,3.3,0,77,DATA ANALYST,4 tahun 3 bulan,JUNIOR,51,76.130287115,84.0,91.92708333,7.89858338,1.0,70.77981892,70.77981892
Analyze structured and unstructured data,Data Scientist,03ad7f49,Data Scientist,2.85,2,91,DATA SCIENTIST,3 tahun 4 bulan,JUNIOR,40,75.1958741829,90.0,0.0,4.519739335,1.0,70.74391915,70.74391915
Analyze structured and unstructured data,Data Scientist,0514ff91,Data Scientist,3.65,0,37,DATA SCIENTIST,3 tahun 4 bulan,MIDDLE,40,75.6379551821,90.0,100.0,11.44256681,1.0,74.661971,74.661971
Analyze structured and unstructured data,Data Scientist,056cd3f9,Data Engineer,3.55,3,48,DATA ENGINEER,7 tahun 7 bulan,SENIOR,91,80.4681314192,90.0,34.22459893,5.168397654,1.3,94.26532683,94.26532683
Analyze structured and unstructured data,Data Scientist,05eed8dc,Data Engineer,2.85,3,49,DATA ENGINEER,2 tahun 5 bulan,MIDDLE,29,62.7957662233,95.0,99.21875,8.595362988,1.2,87.48866032,87.48866032
Analyze structured and unstructured data,Data Scientist,106760ca,Data Engineer,4.85,1,21,DATA ENGINEER,1 tahun 11 bulan,MIDDLE,23,71.4513888888,91.25,100.0,8.016044212,1.2,88.25251765,88.25251765
Analyze structured and unstructured data,Data Scientist,123117c9,Data Analyst,2.35,2,32,DATA ANALYST,4 tahun 2 bulan,MIDDLE,50,70.4449813258,95.0,100.0,3.648580437,1.0,74.43733436,74.43733436
Analyze structured and unstructured data,Data Scientist,14d4dbd6,Data Analyst,2.5,2,108,DATA ANALYST,4 tahun 2 bulan,JUNIOR,50,79.6974498133,80.5,98.4375,3.111615146,1.0,69.81056917,69.81056917
Analyze structured and unstructured data,Data Scientist,1551c5ff,Data Analyst,2.75,2,66,DATA ANALYST,2 tahun 5 bulan,JUNIOR,29,79.0374358075,90.0,100.0,15.2788331,1.0,76.22782609,76.22782609
Analyze structured and unstructured data,Data Scientist,1667415a,Data Analyst,3.45,0,50,DATA ANALYST,4 tahun 1 bulan,JUNIOR,49,73.4773576096,90.0,100.0,10.26693491,1.0,73.85696587,73.85696587
Analyze structured and unstructured data,Data Scientist,1672e04a,Data Analyst,3.85,3,41,DATA ANALYST,4 tahun 3 bulan,JUNIOR,51,69.8277310925,86.0,100.0,7.456011595,1.0,70.40596081,70.40596081
Analyze structured and unstructured data,Data Scientist,17466c54,Data Analyst,2.85,2,11,DATA ANALYST,3 tahun 1 bulan,JUNIOR,37,49.8728816529,90.0,100.0,7.676082801,1.0,66.60685575,66.60685575
Analyze structured and unstructured data,Data Scientist,1893af41,Data Analyst,2.8,2,103,DATA SCIENTIST,1 tahun 1 bulan,JUNIOR,13,37.5269607842,98.0,29.01069519,0.0,1.0,62.25313576,62.25313576
Analyze structured and unstructured data,Data Scientist,1dbecdbe,Data Scientist,2.85,0,4,DATA SCIENTIST,2 tahun 3 bulan,JUNIOR,27,85.3527602713,90.0,99.30555556,6.414697312,1.0,76.68127695,76.68127695
Analyze structured and unstructured data,Data Scientist,29e9efd9,Data Engineer,3.45,3,61,DATA ENGINEER,3 tahun 1 bulan,MIDDLE,37,72.8804563492,94.0,99.30555556,9.72908414,1.2,90.62742563,90.62742563
Analyze structured and unstructured data,Data Scientist,2d801262,Data Analyst,3.5,0,9,DATA ANALYST,2 tahun 10 bulan,MIDDLE,34,80.3460259104,90.0,95.74652778,10.27336667,1.1,83.12594823,83.12594823
Analyze structured and unstructured data,Data Scientist,31e8a51f,Data Scientist,2.75,0,98,DATA SCIENTIST,2 tahun 9 bulan,JUNIOR,33,52.8933765175,90.0,65.10695187,6.407601293,1.0,64.07121964,64.07121964
Analyze structured and unstructured data,Data Scientist,3350383a,Artificial Intelligence Engineer,4.5,1,30,AI ENGINEER,3 tahun 9 bulan,MIDDLE,45,54.1797239725,95.5,96.44097222,11.49637749,1.3,92.17002068,92.17002068
Analyze structured and unstructured data,Data Scientist,365fc87a,Data Analyst,3.0,0,110,DATA ANALYST,2 tahun 5 bulan,BASIC,29,80.8585434175,90.0,8.155080214,6.607477284,1.0,72.88466719,72.88466719
Analyze structured and unstructured data,Data Scientist,36cf70f2,Artificial Intelligence Engineer,3.85,1,58,AI ENGINEER,2 tahun 5 bulan,MIDDLE,29,43.5532358775,89.5,100.0,11.83988942,1.3,84.69716654,84.69716654
Analyze structured and unstructured data,Data Scientist,3951d86b,Data Scientist,4.5,1,78,DATA SCIENTIST,3 tahun 1 bulan,JUNIOR,37,55.4426062092,95.0,100.0,4.279280813,1.0,70.17243405,70.17243405
Analyze structured and unstructured data,Data Scientist,39c4596a,Data Scientist,3.4,0,42,DATA SCIENTIST,3 tahun 5 bulan,JUNIOR,41,60.7098506071,80.0,97.91666667,4.694561364,1.0,64.25018915,64.25018915
Analyze structured and unstructured data,Data Scientist,3cac7e99,Data Scientist,3.35,0,88,DATA SCIENTIST,10 tahun 2 bulan,SENIOR,122,88.3660831,98.0,34.22459893,51.7318368,1.0,87.21080158,87.21080158
Analyze structured and unstructured data,Data Scientist,42e7a026,Data Analyst,3.5,0,64,DATA ANALYST,2 tahun 6 bulan,JUNIOR,30,73.5210696779,89.0,99.21875,4.472503523,1.0,72.45268383,72.45268383
Analyze structured and unstructured data,Data Scientist,46fd6e1c,Data Analyst,2.5,2,5,DATA SCIENTIST,1 tahun 2 bulan,JUNIOR,14,67.4580357142,90.0,100.0,11.7055718,1.0,72.32438573,72.32438573
