Responsibilities,Skill 1,Skill 2,Required_Role,Skillset,Similarity score
"Data extraction, transformation, and visualization",SQL [Coding], Data Visualization & Interactive Data Exploration [EDA],Data Analyst,Mathematics,0.13220891
"Data extraction, transformation, and visualization",SQL [Coding], Data Visualization & Interactive Data Exploration [EDA],Data Analyst,Statistics,0.15172102
"Data extraction, transformation, and visualization",SQL [Coding], Data Visualization & Interactive Data Exploration [EDA],Data Analyst,Data Literacy & Governance,0.43919662
"Data extraction, transformation, and visualization",SQL [Coding], Data Visualization & Interactive Data Exploration [EDA],Data Analyst,Exploratory Data Analysis,0.54518425
"Data extraction, transformation, and visualization",SQL [Coding], Data Visualization & Interactive Data Exploration [EDA],Data Analyst,Visualization & Reporting,0.55206895
"Data extraction, transformation, and visualization",SQL [Coding], Data Visualization & Interactive Data Exploration [EDA],Data Analyst,Machine Learning,0.1597889
"Data extraction, transformation, and visualization",SQL [Coding], Data Visualization & Interactive Data Exploration [EDA],Data Analyst,Deep Learning,0.05980051
"Data extraction, transformation, and visualization",SQL [Coding], Data Visualization & Interactive Data Exploration [EDA],Data Analyst,Data Engineering,0.6113964
"Data extraction, transformation, and visualization",SQL [Coding], Data Visualization & Interactive Data Exploration [EDA],Data Analyst,Model Deployment & MLOps,0.1087928
"Data extraction, transformation, and visualization",SQL [Coding], Data Visualization & Interactive Data Exploration [EDA],Data Analyst,AI Ethics,0.08495405
"Data extraction, transformation, and visualization",SQL [Coding], Data Visualization & Interactive Data Exploration [EDA],Data Analyst,Software Engineering,0.29433775
"Data extraction, transformation, and visualization",SQL [Coding], Data Visualization & Interactive Data Exploration [EDA],Data Analyst,Big Data Ecosystem,0.2900169
Build dashboards and reports,Data Visualization & Interactive Data Exploration [EDA], Data Warehousing [DEng],Data Analyst,Mathematics,0.11149363
Build dashboards and reports,Data Visualization & Interactive Data Exploration [EDA], Data Warehousing [DEng],Data Analyst,Statistics,0.20377487
Build dashboards and reports,Data Visualization & Interactive Data Exploration [EDA], Data Warehousing [DEng],Data Analyst,Data Literacy & Governance,0.41362357
Build dashboards and reports,Data Visualization & Interactive Data Exploration [EDA], Data Warehousing [DEng],Data Analyst,Exploratory Data Analysis,0.5421699
Build dashboards and reports,Data Visualization & Interactive Data Exploration [EDA], Data Warehousing [DEng],Data Analyst,Visualization & Reporting,0.6682459
Build dashboards and reports,Data Visualization & Interactive Data Exploration [EDA], Data Warehousing [DEng],Data Analyst,Machine Learning,0.13893212
